/Users/nonghotdog/Projects/BotandLife/web-application/model/wed/venv/lib/python3.10/site-packages/google/api_core/_python_version_support.py:255: FutureWarning: You are using a Python version (3.10.19) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/Users/nonghotdog/Projects/BotandLife/web-application/model/wed/venv/lib/python3.10/site-packages/ee/deprecation.py:215: DeprecationWarning: 

Attention required for JAXA/ALOS/AW3D30/V3_2! You are using a deprecated asset.
To make sure your code keeps working, please update it.
This dataset has been superseded by JAXA/ALOS/AW3D30/V4_1

Learn more: https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_AW3D30_V3_2

  warnings.warn(warning, category=DeprecationWarning)
--- สุ่มค่าพิกเซล ความสูง (Elevation) และ ความลาดชัน (Slope) ดิบ ---
พิกัดทดสอบ: ดอยอินทนนท์
Elevation: 2503.00 m | Slope: 19.33 degrees
Elevation: 2516.00 m | Slope: 28.88 degrees
Elevation: 2536.00 m | Slope: 28.28 degrees
Elevation: 2536.00 m | Slope: 11.04 degrees
Elevation: 2548.00 m | Slope: 11.60 degrees
Elevation: 2547.00 m | Slope: 16.54 degrees
Elevation: 2545.00 m | Slope: 20.25 degrees
Elevation: 2539.00 m | Slope: 16.51 degrees
Elevation: 2532.00 m | Slope: 16.51 degrees
Elevation: 2504.00 m | Slope: 5.13 degrees
Elevation: 2506.00 m | Slope: 12.74 degrees
Elevation: 2512.00 m | Slope: 17.01 degrees
Elevation: 2522.00 m | Slope: 26.13 degrees
Elevation: 2540.00 m | Slope: 22.71 degrees
Elevation: 2540.00 m | Slope: 11.32 degrees
Elevation: 2547.00 m | Slope: 5.38 degrees
Elevation: 2552.00 m | Slope: 10.02 degrees
Elevation: 2551.00 m | Slope: 14.52 degrees
Elevation: 2545.00 m | Slope: 17.85 degrees
Elevation: 2536.00 m | Slope: 17.85 degrees
Elevation: 2527.00 m | Slope: 14.27 degrees
Elevation: 2523.00 m | Slope: 17.77 degrees
Elevation: 2510.00 m | Slope: 25.80 degrees
Elevation: 2525.00 m | Slope: 20.23 degrees
Elevation: 2515.00 m | Slope: 15.62 degrees
Elevation: 2508.00 m | Slope: 15.19 degrees
Elevation: 2503.00 m | Slope: 4.86 degrees
